Call;QTH;Year;Category;Score;QSOs;WPX;160M;80M;40M;20M;15M;10M;Hours;Club
TS3B;3V;2005;SINGLE-OP HIGH ALL;10205100;3261;828;15;229;616;1155;479;767;35.8;YU CONTEST CLUB
ES5Q;ES;2005;MULTI-TWO;9923464;4814;1018;75;370;886;1593;1104;786;48.0;TARTU CONTEST TEAM
PZ5XX;PZ;2005;SINGLE-OP HIGH ALL;9836424;3088;837;0;82;806;454;1399;347;33.3;CONTEST CLUB FINLAND
RZ9OZO;UA9;2005;MULTI-SINGLE HIGH;9580672;3168;928;7;172;602;1459;876;52;48.0;CENTRAL SIBERIA DX CLUB
P41P;P4;2005;SINGLE-OP LOW ALL;9384444;3073;837;0;4;693;1072;1035;269;35.9;POTOMAC VALLEY RADIO CLUB
LR2F;LU;2005;MULTI-SINGLE HIGH;9199125;2693;925;0;43;654;431;1012;553;48.0;RADIO CLUB ROSARIO LU4FM
G6PZ;G;2005;MULTI-SINGLE HIGH;9117530;3675;1021;43;189;885;1461;843;254;48.0;NO CLUB
HA80IARU;HA;2005;MULTI-SINGLE HIGH;8876960;3738;1018;42;264;762;1162;1121;387;48.0;HA-DX-CLUB
AK1W;W1;2005;SINGLE-OP HIGH ALL;8650704;3275;916;1;69;682;1481;1012;30;36.0;YANKEE CLIPPER CONTEST CLUB
RG9A;UA9;2005;ASSISTED HIGH ALL;8484704;2785;892;36;162;451;1206;619;311;36.0;SOUTH URAL CONTEST CLUB
OL0W;OK;2005;MULTI-SINGLE HIGH;8291787;3436;987;43;286;832;1220;801;254;48.0;NO CLUB
CG7SV;VE7;2005;MULTI-TWO;8254320;3051;844;1;163;855;1586;436;10;48.0;BRITISH COLUMBIA DX CLUB
PJ2W;PJ2;2005;SINGLE-OP HIGH ALL;8195516;2811;812;0;0;602;872;1138;199;36.0;SOCIETY OF MIDWEST CONTESTERS
IH9U;IG9;2005;SINGLE-OP LOW ALL;8116416;2726;756;41;285;542;531;878;449;36.0;TIKIRRIKI CONTEST CLUB
CT9A;CT3;2005;SINGLE-OP LOW ALL;8109332;2837;791;0;16;585;785;1127;324;36.0;CONTEST CLUB FINLAND
VY2TT;VEY;2005;SINGLE-OP HIGH ALL;7936704;2989;864;0;16;576;1605;736;56;36.0;SOUTHERN CALIFORNIA CONTEST CLUB
WR3Z;W3;2005;MULTI-TWO;7833315;3199;915;16;169;713;1387;860;54;48.0;POTOMAC VALLEY RADIO CLUB
CS5A;CT;2005;SINGLE-OP HIGH ALL (T);7699740;3862;905;0;250;694;1279;1140;499;36.0;BAVARIAN CONTEST CLUB
CT8T;CT;2005;SINGLE-OP HIGH ALL;7632890;3607;886;0;77;680;1177;1253;420;36.0;CONTEST CLUB FINLAND
OH0R;OH0;2005;MULTI-SINGLE HIGH;7590645;3792;953;87;266;568;1809;789;273;48.0;NO CLUB
TM4C;F;2005;MULTI-TWO;7544536;3751;892;59;319;958;1277;793;345;48.0;NO CLUB
KT3Y/4;W4;2005;MULTI-SINGLE HIGH;7518819;2897;847;0;62;943;1072;793;27;48.0;POTOMAC VALLEY RADIO CLUB
KC3R;W3;2005;SINGLE-OP HIGH ALL;7511364;2990;861;0;84;721;1285;887;13;35.8;NORTH COAST CONTESTERS
CF7OO;VE7;2005;MULTI-SINGLE HIGH;7277866;2600;862;1;109;751;1408;331;0;48.0;CHILLIWACK AMATEUR RADIO CLUB
RY9C;UA9;2005;MULTI-SINGLE HIGH;7161480;2667;760;42;221;499;1039;584;282;43.5;URAL CONTEST GROUP
YR7M;YO;2005;MULTI-SINGLE HIGH;7085880;3411;972;52;143;647;1418;724;427;45.4;WORLD WIDE YOUNG CONTESTERS
ZX5J;PY;2005;SINGLE-OP HIGH 15M;7061000;2585;920;0;0;0;0;2585;0;35.7;ARAUCARIA DX GROUP
LI8W;LA;2005;MULTI-SINGLE HIGH;7052486;3434;959;87;248;706;1724;536;133;48.0;LIMA ALFA CONTEST CLUB
IR2C;I;2005;MULTI-SINGLE HIGH;7040100;3177;930;0;240;628;1319;666;324;48.0;NO CLUB
DQ80IARU;DL;2005;ASSISTED HIGH ALL;6998679;3234;921;0;181;787;1416;751;99;35.8;RHEIN RUHR DX ASSOCIATION
ZM1A;ZL;2005;MULTI-TWO;6955456;2420;764;0;19;700;1167;507;27;48.0;AUCKLAND CONTEST CLUB
CG3EJ;VE3;2005;ASSISTED HIGH ALL;6933654;2638;819;0;38;724;910;893;73;36.0;CONTEST CLUB ONTARIO
WC1M;W1;2005;SINGLE-OP HIGH ALL;6904788;2648;867;0;30;794;1294;514;16;36.0;YANKEE CLIPPER CONTEST CLUB
NY4A;W4;2005;SINGLE-OP HIGH ALL;6658866;2662;846;0;128;552;1042;928;12;36.0;POTOMAC VALLEY RADIO CLUB
VE3JM;VE3;2005;SINGLE-OP HIGH ALL;6555276;2448;783;0;52;741;1036;612;7;36.0;CONTEST CLUB ONTARIO
KT1V;W1;2005;SINGLE-OP HIGH ALL;6541560;2605;810;0;105;640;1222;623;15;36.0;YANKEE CLIPPER CONTEST CLUB
UA9CLB;UA9;2005;SINGLE-OP HIGH ALL;6539143;2477;743;0;154;508;1068;597;150;36.0;URAL CONTEST GROUP
SJ0X;SM;2005;MULTI-SINGLE HIGH;6517203;3242;951;82;321;625;1523;587;104;48.0;WORLD WIDE YOUNG CONTESTERS
ZC4LI;ZC4;2005;SINGLE-OP HIGH ALL;6499094;2598;721;10;40;526;624;768;630;36.0;NO CLUB
YW4D;YV;2005;SINGLE-OP HIGH 40M;6472554;1566;698;0;0;1566;0;0;0;28.7;RADIO CLUB VENEZOLANO
KN1DX/4;W4;2005;SINGLE-OP HIGH ALL;6463160;2873;794;0;24;651;1306;860;32;36.0;POTOMAC VALLEY RADIO CLUB
OL7D;OK;2005;MULTI-TWO;6307332;3319;892;83;436;640;1152;902;106;48.0;NO CLUB
OE4A;OE;2005;SINGLE-OP HIGH ALL;6303594;2938;894;1;36;270;506;341;56;35.8;AUSTRIAN CONTEST CLUB
NZ1U;W1;2005;MULTI-SINGLE HIGH;6299580;2493;849;0;154;633;1186;466;53;43.9;YANKEE CLIPPER CONTEST CLUB
9G5FD;9G;2005;SINGLE-OP HIGH ALL;6251204;2549;788;0;3;113;818;1456;159;35.7;CHILTERN DX CLUB
C6AKU;C6;2005;MULTI-TWO;6161890;2601;791;0;35;558;980;988;40;48.0;FLORIDA CONTEST GROUP
S58A;S5;2005;SINGLE-OP HIGH ALL;6133219;2971;817;48;168;666;1198;738;153;35.4;SLOVENIA CONTEST CLUB
NK7U;W7;2005;SINGLE-OP HIGH ALL;6075919;2648;853;0;94;590;1387;563;14;36.0;WORLD WIDE YOUNG CONTESTERS
SQ6Z;SP;2005;MULTI-SINGLE HIGH;6037830;2744;919;48;158;631;867;702;338;48.0;WORLD WIDE YOUNG CONTESTERS
9A8A;9A;2005;SINGLE-OP HIGH ALL;5873556;2822;897;31;88;512;1122;823;246;36.0;CROATIAN CONTEST CLUB
NQ4I;W4;2005;SINGLE-OP HIGH ALL;5828592;2652;836;0;44;529;1184;855;40;36.0;SOUTH EAST CONTEST CLUB
CG3DZ;VE3;2005;SINGLE-OP LOW ALL;5813395;2362;815;0;18;494;1285;536;29;36.0;CONTEST CLUB ONTARIO
NO5W;W5;2005;MULTI-SINGLE HIGH;5767552;2666;896;0;8;538;1180;814;126;46.0;CENTRAL TEXAS DX AND CONTEST CLUB
DJ5MW;DL;2005;ASSISTED HIGH ALL;5750277;2717;849;28;283;745;821;637;203;36.0;NO CLUB
JH4UYB;JA4;2005;SINGLE-OP HIGH ALL;5668084;2309;788;0;17;360;1091;826;15;36.0;NO CLUB
RA3CO;UA3;2005;SINGLE-OP HIGH ALL;5644940;3060;854;80;165;623;1049;685;458;36.0;NO CLUB
SJ3W;SM;2005;MULTI-TWO;5633847;2995;837;99;136;635;980;1010;135;32.1;NO CLUB
KM9P/4;W4;2005;SINGLE-OP HIGH ALL;5549038;2557;814;0;20;776;1241;495;25;35.9;TENNESSEE CONTEST GROUP
TK9A;TK;2005;SINGLE-OP LOW ALL (T);5526918;3072;834;21;141;484;1205;944;277;36.0;NO CLUB
DC8SG;DL;2005;MULTI-SINGLE HIGH;5507320;2814;890;29;324;418;1045;773;225;48.0;BAVARIAN CONTEST CLUB
RF3A;UA3;2005;MULTI-SINGLE HIGH;5470386;3207;894;58;265;531;1105;698;550;48.0;NO CLUB
AA3B;W3;2005;SINGLE-OP HIGH ALL;5417124;2376;772;0;108;778;1042;409;39;35.9;FRANKFORD RADIO CLUB
4L8A;4L;2005;SINGLE-OP HIGH 20M;5404455;2333;855;0;0;0;2333;0;0;35.9;ATCC
G5W;G;2005;SINGLE-OP HIGH ALL;5395300;2836;815;50;243;619;1113;622;189;36.0;CHILTERN DX CLUB
OL3Z;OK;2005;MULTI-SINGLE HIGH;5338024;2776;866;28;336;584;908;670;250;48.0;NO CLUB
DL3YM;DL;2005;SINGLE-OP HIGH ALL;5270664;2559;822;41;326;564;1129;449;50;36.0;RHEIN RUHR DX ASSOCIATION
TM4Q;F;2005;MULTI-SINGLE HIGH;5260717;2634;847;0;180;708;1292;435;19;48.0;TDXT
RX3RXX;UA3;2005;MULTI-SINGLE HIGH;5250070;3389;838;88;246;531;1093;872;559;48.0;MICHURINSK CONTEST GROUP
NI1N/4;W4;2005;ASSISTED HIGH ALL;5216020;2361;820;0;38;618;1232;461;12;35.9;POTOMAC VALLEY RADIO CLUB
N2IC/5;W5;2005;SINGLE-OP HIGH ALL;5204000;2570;800;0;47;560;1023;823;117;35.0;NO CLUB
KM7W/6;W6;2005;SINGLE-OP HIGH ALL;5174540;2525;805;2;76;461;1146;757;83;35.9;SOUTHERN CALIFORNIA CONTEST CLUB
D44AC;D4;2005;SINGLE-OP HIGH 20M;5110344;2134;802;0;0;0;2134;0;0;36.0;MOSCOW CONTEST CLUB
9H1ZA;9H;2005;SINGLE-OP HIGH ALL (T);5105152;3140;832;36;103;701;746;869;685;35.8;RUSSIAN CONTEST CLUB
K3ZO;W3;2005;SINGLE-OP HIGH ALL;5103686;2208;749;0;82;574;990;533;29;35.8;POTOMAC VALLEY RADIO CLUB
PS2T;PY;2005;SINGLE-OP HIGH 40M;5081021;1337;649;0;0;1337;0;0;0;31.5;ARAUCARIA DX GROUP
OK1DX;OK;2005;ASSISTED HIGH ALL;4966992;2436;816;49;310;576;1027;425;49;36.0;BAVARIAN CONTEST CLUB
DK3GI;DL;2005;ASSISTED HIGH ALL;4917628;2426;829;0;133;547;966;701;79;35.8;BAVARIAN CONTEST CLUB
T93M;E7;2005;SINGLE-OP HIGH ALL;4908550;2676;773;25;216;818;1037;435;145;36.0;FLORIDA CONTEST GROUP
ZY7C;PY;2005;MULTI-SINGLE HIGH;4907579;1875;713;0;29;450;407;685;304;42.3;ARAUCARIA DX GROUP
LX7I;LX;2005;SINGLE-OP HIGH ALL;4898400;2534;785;16;175;631;1013;683;16;32.4;RHEIN RUHR DX ASSOCIATION
YR9P;YO;2005;ASSISTED HIGH ALL;4863107;3003;823;74;111;500;985;792;541;36.0;NO CLUB
WX5S/6;W6;2005;MULTI-TWO;4843552;2325;784;0;110;489;1081;549;96;48.0;NORTHERN CALIFORNIA CONTEST CLUB
AM3KU;EA;2005;SINGLE-OP HIGH ALL (T);4789088;2749;824;0;45;542;939;733;490;35.9;NO CLUB
VE3YAA;VE3;2005;MULTI-TWO;4743684;2120;726;17;125;511;1160;289;18;41.5;CONTEST CLUB ONTARIO
KR7X;W7;2005;SINGLE-OP HIGH ALL;4675220;2231;790;0;23;478;1404;299;27;36.0;WILLAMETTE VALLEY DX CLUB
K1LZ;W1;2005;ASSISTED HIGH ALL;4650447;1951;699;0;175;600;679;450;47;36.0;YANKEE CLIPPER CONTEST CLUB
VO1AU;VEO;2005;SINGLE-OP HIGH ALL;4632562;1882;649;0;213;604;648;404;13;35.6;EAST COAST CANADA CONTEST CLUB
DJ1YFK;DL;2005;SINGLE-OP HIGH ALL;4619746;2374;766;26;258;678;663;533;216;36.0;BAVARIAN CONTEST CLUB
N2NC;W2;2005;SINGLE-OP HIGH 20M;4540519;2135;853;0;0;0;2135;0;0;36.0;FRANKFORD RADIO CLUB
S57DX;S5;2005;ASSISTED HIGH ALL;4512088;2482;788;21;275;501;1028;390;267;36.0;VRHNIKA CONTESTERS
OH1F;OH;2005;SINGLE-OP HIGH ALL;4504027;2471;803;23;183;479;1036;707;43;36.0;CONTEST CLUB FINLAND
EA9/OL8R;EA9;2005;SINGLE-OP LOW ALL;4425806;1928;638;0;95;306;510;582;435;36.0;NO CLUB
TM9C;F;2005;SINGLE-OP HIGH ALL;4355894;2459;746;14;163;560;900;551;271;36.0;NO CLUB
HA8FM;HA;2005;SINGLE-OP HIGH ALL;4260685;2299;767;37;154;570;775;541;222;35.9;HA-DX-CLUB
CX6VM;CX;2005;SINGLE-OP HIGH ALL (T);4255020;1823;693;0;0;284;338;776;425;36.0;RADIO CLUB URUGUAYO
4N1N;YT;2005;MULTI-SINGLE HIGH;4240335;2644;829;31;203;428;1022;697;263;48.0;YU CONTEST CLUB
DL4MCF;DL;2005;SINGLE-OP HIGH ALL;4239558;2265;743;21;201;609;824;541;69;36.0;BAVARIAN CONTEST CLUB
AN5FV;EA;2005;SINGLE-OP HIGH ALL (T);4216008;2821;776;0;93;366;685;1053;624;36.0;NO CLUB
RZ3AZ;UA3;2005;SINGLE-OP HIGH ALL (T);4174755;2639;813;65;232;395;1007;546;394;36.0;MOSCOW CONTEST CLUB
UW2M;UR;2005;SINGLE-OP HIGH ALL;4134780;2610;780;11;79;422;781;807;510;34.4;UKRAINIAN CONTEST CLUB
9A9A;9A;2005;SINGLE-OP HIGH 40M;4120956;1682;711;0;0;1682;0;0;0;36.0;CROATIAN CONTEST CLUB
YL0A;YL;2005;ASSISTED HIGH ALL;4081260;2523;813;0;131;300;923;745;424;36.0;LATVIAN CONTEST CLUB
UT2UZ;UR;2005;SINGLE-OP HIGH ALL;4030809;2392;753;62;150;655;649;642;234;35.1;KIEV CONTEST GROUP
WJ9B/4;W4;2005;SINGLE-OP HIGH ALL;4015042;2125;722;0;82;540;879;600;24;36.0;FLORIDA CONTEST GROUP
KU1CW/0;W0;2005;ASSISTED HIGH ALL;3968080;2083;772;0;21;446;1043;458;115;34.4;KANSAS CITY DX CLUB
RI4C;UA4;2005;MULTI-SINGLE HIGH;3967353;2733;801;88;236;496;970;768;175;48.0;NO CLUB
9A7T;9A;2005;MULTI-TWO;3965790;2299;811;0;79;491;927;580;222;48.0;CROATIAN CONTEST CLUB
OK1RF;OK;2005;SINGLE-OP HIGH 40M;3944040;1586;690;0;0;1586;0;0;0;36.0;NO CLUB
HG1R;HA;2005;MULTI-SINGLE HIGH;3898603;2334;761;63;177;508;987;496;103;48.0;RADIOAMATOR SPORTKLUB KANIZSA
K7SV/4;W4;2005;SINGLE-OP LOW ALL;3806946;1784;702;1;24;548;745;411;55;36.0;POTOMAC VALLEY RADIO CLUB
WP2Z;KP2;2005;SINGLE-OP HIGH ALL;3784044;1635;654;0;18;594;562;300;161;20.5;NO CLUB
C4M;5B;2005;SINGLE-OP LOW ALL (T);3757184;1840;596;0;123;272;612;308;525;29.6;AFRODITE
IR4X;I;2005;SINGLE-OP HIGH 40M;3754960;1583;680;0;0;1583;0;0;0;35.8;WORLD WIDE YOUNG CONTESTERS
WY4N;W4;2005;SINGLE-OP HIGH ALL (T);3698920;2051;785;3;39;260;1189;518;42;36.0;SOUTH EAST CONTEST CLUB
8S5A;SM;2005;SINGLE-OP HIGH ALL;3674384;2416;742;13;218;495;1229;308;153;36.0;NO CLUB
P40A;P4;2005;SINGLE-OP QRP ALL;3674242;1792;638;0;0;159;797;597;239;35.9;SOCIETY OF MIDWEST CONTESTERS
HA4A;HA;2005;ASSISTED HIGH 20M;3670660;2112;835;0;0;0;2112;0;0;35.9;HA-DX-CLUB
UN3M;UN;2005;SINGLE-OP LOW ALL;3646335;1679;605;42;132;284;486;517;218;35.4;NO CLUB
WK1Q;W1;2005;SINGLE-OP HIGH ALL;3615240;1817;705;0;33;394;784;519;87;35.5;YANKEE CLIPPER CONTEST CLUB
S50A;S5;2005;SINGLE-OP HIGH 40M;3602565;1563;669;0;0;1563;0;0;0;36.0;SLOVENIA CONTEST CLUB
ZX3S;PY;2005;MULTI-TWO;3598465;1604;667;0;15;242;252;676;419;35.7;ARAUCARIA DX GROUP
KG1D;W1;2005;SINGLE-OP HIGH 40M;3594822;1388;651;0;0;1388;0;0;0;34.4;YANKEE CLIPPER CONTEST CLUB
RX9AF;UA9;2005;SINGLE-OP HIGH ALL;3593700;1669;605;0;104;353;767;378;67;35.2;RADIOCLUB OF TROITSK CITY
V31JP;V3;2005;SINGLE-OP HIGH 40M;3587500;1249;574;0;0;1249;0;0;0;26.9;SOCIETY OF MIDWEST CONTESTERS
EO3Q;UR;2005;ASSISTED HIGH 20M;3581868;2118;842;0;0;0;2118;0;0;36.0;UKRAINIAN CONTEST CLUB
DB8YS;DL;2005;MULTI-SINGLE HIGH;3567262;2164;766;57;203;504;980;304;116;48.0;RHEIN RUHR DX ASSOCIATION
HZ1EX;HZ;2005;ASSISTED HIGH ALL;3557073;1818;669;0;0;225;541;663;389;36.0;NO CLUB
RA3CW;UA3;2005;SINGLE-OP HIGH 20M;3519600;1986;840;0;0;0;1986;0;0;36.0;MOSCOW CONTEST CLUB
NN3L;W3;2005;SINGLE-OP HIGH 40M;3504786;1336;654;0;0;1336;0;0;0;32.2;WESTERN CHESTER COUNTY CONTEST CLUB
OH6NIO;OH;2005;ASSISTED HIGH ALL;3500010;2110;783;10;81;318;1085;539;77;36.0;CONTEST CLUB FINLAND
EA2URD;EA;2005;MULTI-SINGLE HIGH;3484621;2295;763;0;71;368;908;584;364;48.0;UNION RADIOAFICIONADOS DONOSTIA
YZ0Z;YT;2005;SINGLE-OP HIGH 20M;3439059;2131;809;0;0;0;2131;0;0;36.0;YU CONTEST CLUB
DK2OY;DL;2005;SINGLE-OP HIGH ALL;3424596;2045;708;38;116;545;857;304;185;35.7;BAVARIAN CONTEST CLUB
VE7SQ;VE7;2005;MULTI-TWO;3421780;1709;620;0;49;537;858;238;27;48.0;BRITISH COLUMBIA DX CLUB
CT7B;CT;2005;SINGLE-OP LOW ALL;3393885;2207;737;0;90;266;745;682;424;33.9;WORLD WIDE YOUNG CONTESTERS
UP0L;UN;2005;SINGLE-OP HIGH 20M;3380512;1728;709;0;0;0;1728;0;0;32.6;URAL CONTEST GROUP
EA1WX;EA;2005;MULTI-SINGLE HIGH;3370588;2194;689;0;310;302;791;601;190;35.1;NO CLUB
DL2OBF;DL;2005;SINGLE-OP HIGH ALL (T);3330586;2093;722;76;184;404;832;444;153;36.0;RHEIN RUHR DX ASSOCIATION
RT3T;UA3;2005;SINGLE-OP HIGH ALL;3307093;2299;743;53;173;407;958;520;188;36.0;NO CLUB
K2PLF/3;W3;2005;SINGLE-OP HIGH ALL (T);3292042;1723;689;0;16;331;1035;341;0;34.5;POTOMAC VALLEY RADIO CLUB
K9DX;W9;2005;SINGLE-OP HIGH ALL;3286005;1841;705;0;77;411;929;383;41;33.5;SOCIETY OF MIDWEST CONTESTERS
VC6X;VE6;2005;SINGLE-OP HIGH 20M;3275108;1801;734;0;0;0;1801;0;0;36.0;NO CLUB
N2GC;W2;2005;SINGLE-OP HIGH ALL (T);3259776;1632;653;0;160;562;606;269;35;36.0;YANKEE CLIPPER CONTEST CLUB
UA4FER;UA4;2005;SINGLE-OP LOW ALL;3229568;2199;736;59;156;374;885;488;237;36.0;NO CLUB
OM7JG;OM;2005;SINGLE-OP HIGH 20M;3218334;1878;777;0;0;0;1878;0;0;35.4;SLOVAK CONTEST GROUP
NV1N;W1;2005;SINGLE-OP LOW ALL;3213782;1645;661;0;16;474;795;344;16;36.0;YANKEE CLIPPER CONTEST CLUB
WP3C;KP4;2005;SINGLE-OP LOW ALL;3211372;1641;619;0;32;441;502;528;138;36.0;NO CLUB
PV8DX;PY;2005;SINGLE-OP LOW ALL;3187912;1477;604;0;7;317;382;571;200;31.8;GUARA DX GROUP
YT3A;YT;2005;SINGLE-OP HIGH 40M;3140144;1398;644;0;0;1398;0;0;0;33.6;SKY CONTEST CLUB
W8MJ;W8;2005;SINGLE-OP HIGH ALL;3133466;1951;721;0;50;485;963;430;23;36.0;MAD RIVER RADIO CLUB
KX7M/6;W6;2005;SINGLE-OP HIGH ALL;3125776;1936;694;1;9;353;1120;412;41;35.1;NORTHERN CALIFORNIA CONTEST CLUB
K8GL;W8;2005;SINGLE-OP HIGH ALL;3123855;1639;705;0;0;276;916;408;39;33.1;MAD RIVER RADIO CLUB
YT5A;YT;2005;SINGLE-OP HIGH 20M;3118832;2096;794;0;0;0;2096;0;0;36.0;YU CONTEST CLUB
IO3P;I;2005;SINGLE-OP HIGH 20M;3118544;1994;754;0;0;0;1994;0;0;36.0;NO CLUB
KN7NV;W7;2005;SINGLE-OP HIGH ALL;3108072;1823;671;0;38;399;927;432;27;36.0;NORTHERN CALIFORNIA CONTEST CLUB
KD4D/3;W3;2005;SINGLE-OP HIGH 20M;3079100;1721;751;0;0;0;1721;0;0;35.9;POTOMAC VALLEY RADIO CLUB
AM6IB;EA6;2005;SINGLE-OP HIGH 15M (R);3063543;2225;791;0;0;0;0;2225;0;35.9;NO CLUB
OH4R;OH;2005;ASSISTED HIGH 20M;3049305;2011;791;0;0;0;2011;0;0;36.0;CONTEST CLUB FINLAND
TM6A;F;2005;ASSISTED LOW ALL;3028081;1815;707;0;88;503;782;429;13;35.0;CHILTERN DX CLUB
YT2R;YT;2005;SINGLE-OP LOW ALL;3021680;2082;706;0;176;346;628;634;298;36.0;YU CONTEST CLUB
DL9EE;DL;2005;ASSISTED HIGH ALL;3017124;1796;684;0;105;537;764;332;58;35.9;BAVARIAN CONTEST CLUB
UA3QDX;UA3;2005;SINGLE-OP HIGH ALL;3009573;2249;713;2;5;356;817;597;472;36.0;RUSSIAN CONTEST CLUB
UA9SP;UA9;2005;SINGLE-OP HIGH ALL (T);2993760;1532;560;5;129;231;459;490;218;31.0;RUSSIAN CONTEST CLUB
9M2CNC;9M2;2005;SINGLE-OP HIGH ALL (T);2975232;1857;624;0;0;106;808;818;125;36.0;VK CONTEST CLUB
T93Y;E7;2005;SINGLE-OP HIGH 15M;2955304;1932;781;0;0;0;0;1932;0;36.0;BOSNIA AND HERZEGOVINA CONTEST CLUB
LT2H;LU;2005;ASSISTED HIGH 40M;2951570;956;530;0;0;956;0;0;0;29.5;RADIO CLUB SAN FRANCISCO
UA0ANW;UA0;2005;ASSISTED HIGH ALL;2951344;1463;656;0;53;228;712;456;14;31.3;CENTRAL SIBERIA DX CLUB
PX2W;PY;2005;SINGLE-OP HIGH 10M;2940864;1560;636;0;0;0;0;0;1560;28.0;ARAUCARIA DX GROUP
UZ0G;UR;2005;MULTI-SINGLE HIGH;2938806;2607;661;55;215;453;629;585;670;48.0;KHERSON DX FOUNDATION
UA3TCJ;UA3;2005;SINGLE-OP HIGH ALL;2933469;1818;693;56;354;298;776;233;101;34.4;NO CLUB
G3TXF;G;2005;SINGLE-OP HIGH ALL;2924013;1951;713;0;243;317;1135;142;114;36.0;CHILTERN DX CLUB
SI9AM;SM;2005;MULTI-TWO;2900248;2133;706;63;149;389;1104;284;144;39.7;TOP OF EUROPE CONTESTERS
S56A;S5;2005;SINGLE-OP HIGH ALL;2899827;1931;687;37;147;478;555;489;225;36.0;SKY CONTEST CLUB
WD4K;W4;2005;SINGLE-OP HIGH 20M;2896247;1727;766;0;0;0;1727;0;0;36.0;TENNESSEE CONTEST GROUP
UR5HAC;UR;2005;SINGLE-OP LOW ALL;2885511;2180;713;0;141;266;716;614;443;36.0;NO CLUB
S56M;S5;2005;SINGLE-OP HIGH 20M;2862217;1793;757;0;0;0;1793;0;0;36.0;SLOVENIA CONTEST CLUB
K9NW;W9;2005;SINGLE-OP HIGH 20M;2857180;1618;766;0;0;0;1618;0;0;35.4;MAD RIVER RADIO CLUB
N8II;W8;2005;SINGLE-OP HIGH ALL;2849688;1581;668;0;0;254;761;562;4;27.0;POTOMAC VALLEY RADIO CLUB
PY1KN;PY;2005;SINGLE-OP HIGH 15M;2836561;1501;637;0;0;0;0;1501;0;28.7;ARAUCARIA DX GROUP
DL5AWI;DL;2005;SINGLE-OP HIGH ALL;2834100;1814;705;9;144;304;763;418;176;36.0;CENTRAL GERMAN CONTEST GROUP
G0WKW;G;2005;SINGLE-OP HIGH ALL (T);2830640;1938;656;0;93;490;776;329;250;36.0;NO CLUB
YT6A;YT;2005;SINGLE-OP HIGH 20M;2807040;1831;768;0;0;0;1831;0;0;35.4;SKY CONTEST CLUB
UX7IA;UR;2005;SINGLE-OP HIGH ALL (T);2779998;2195;754;0;0;0;949;682;564;36.0;UKRAINIAN CONTEST CLUB
9A5RR;9A;2005;SINGLE-OP HIGH 15M;2771872;1918;752;0;0;0;0;1918;0;36.0;CROATIAN CONTEST CLUB
OM4A;OM;2005;MULTI-SINGLE HIGH;2770776;1790;696;0;203;535;486;429;137;48.0;NO CLUB
YP3A;YO;2005;SINGLE-OP HIGH 20M (T);2745975;2021;779;0;0;0;2021;0;0;34.7;NO CLUB
