Call;QTH;Year;Category;Score;QSOs;WPX;160M;80M;40M;20M;15M;10M;Hours;Club
S58A;S5;2005;SINGLE-OP HIGH ALL;9561284;3335;1009;0;0;0;0;0;0;35.7;WORLD WIDE YOUNG CONTESTERS
SQ6Z;SP;2005;MULTI-TWO;9508504;3378;1048;0;0;0;0;0;0;46.9;WORLD WIDE YOUNG CONTESTERS
GJ2A;GJ;2005;MULTI-SINGLE HIGH;9366844;3527;1084;0;0;0;0;0;0;48.0;BAVARIAN CONTEST CLUB
OK1RI;OK;2005;SINGLE-OP HIGH ALL;9330220;3107;1039;0;0;0;0;0;0;36.0;NO CLUB
RX4HZZ;UA4;2005;MULTI-MULTI;9325820;4401;1015;0;0;0;0;0;0;48.0;NO CLUB
VE7SV;VE7;2005;MULTI-TWO;9248472;3372;846;0;0;0;0;0;0;48.0;BRITISH COLUMBIA DX CLUB
LT2H;LU;2005;MULTI-SINGLE HIGH;9134574;3037;942;0;0;0;0;0;0;46.6;NO CLUB
KQ2M/1;W1;2005;SINGLE-OP HIGH ALL;9089410;3222;1045;0;0;0;0;0;0;36.0;FRANKFORD RADIO CLUB
WK4R;W4;2005;SINGLE-OP HIGH ALL;8883951;3627;1059;0;0;0;0;0;0;35.8;FLORIDA CONTEST GROUP
UA0AZA;UA0;2005;MULTI-SINGLE HIGH;8865162;3075;942;0;0;0;0;0;0;48.0;CENTRAL SIBERIA DX CLUB
EA8EW;EA8;2005;SINGLE-OP HIGH 20M;8719848;2988;978;0;0;0;2988;0;0;36.0;CONTEST CLUB FINLAND
TM7F;F;2005;MULTI-SINGLE HIGH;8580536;3271;1009;0;0;0;0;0;0;48.0;LES NOUVELLES DX
OL7R;OK;2005;MULTI-SINGLE HIGH;8497635;3044;1065;0;0;0;0;0;0;48.0;NO CLUB
WR3Z;W3;2005;MULTI-TWO;8320680;3500;1044;0;0;0;0;0;0;48.0;POTOMAC VALLEY RADIO CLUB
T49C;CM;2005;MULTI-MULTI;8297978;3814;878;0;0;0;0;0;0;48.0;FEDERACION DE RADIOAFICIONADOS DE CUBA
VE3DZ;VE3;2005;SINGLE-OP HIGH ALL;8291058;2783;967;0;0;0;0;0;0;36.0;CONTEST CLUB ONTARIO
ZX2B;PY;2005;SINGLE-OP HIGH ALL (T);8174796;2926;921;0;0;0;0;0;0;36.0;TUPY DX GROUP
9K2HN;9K;2005;MULTI-SINGLE HIGH;8161560;3300;792;0;0;0;0;0;0;38.7;NO CLUB
OH0Z;OH0;2005;SINGLE-OP HIGH ALL;8130528;3403;1008;0;0;0;0;0;0;35.9;CONTEST CLUB FINLAND
TM4Z;F;2005;MULTI-SINGLE HIGH;8123104;3228;1034;0;0;0;0;0;0;48.0;NO CLUB
TI4CF;TI;2005;SINGLE-OP HIGH 40M;8057479;1953;751;0;0;1953;0;0;0;26.9;NO CLUB
VO1AU;VEO;2005;SINGLE-OP HIGH ALL;8056636;2678;854;0;0;0;0;0;0;35.9;EAST COAST CANADA CONTEST CLUB
TO1T;FG;2005;MULTI-SINGLE HIGH;7872072;3214;897;0;0;0;0;0;0;45.5;NO CLUB
RG9A;UA9;2005;ASSISTED HIGH ALL;7808760;2605;796;0;0;0;0;0;0;35.3;SOUTH URAL CONTEST CLUB
NR6O;W6;2005;MULTI-MULTI;7766641;4652;907;0;0;0;0;0;0;24.0;NORTHERN CALIFORNIA CONTEST CLUB
PY1KN;PY;2005;SINGLE-OP HIGH 15M;7503520;2764;920;0;0;0;0;2764;0;22.2;ARAUCARIA DX GROUP
DL6RAI;DL;2005;MULTI-SINGLE HIGH;7378068;2899;1003;0;0;0;0;0;0;48.0;BAVARIAN CONTEST CLUB
DL9LR;DL;2005;MULTI-MULTI;7300128;3399;992;0;0;0;0;0;0;48.0;RHEIN RUHR DX ASSOCIATION
VP9I;VP9;2005;MULTI-TWO;7236456;3225;844;0;0;0;0;0;0;48.0;CTRI CONTEST GROUP
LO2F;LU;2005;ASSISTED HIGH ALL;7215124;2658;889;0;0;0;0;0;0;27.7;NO CLUB
K3EST/4;W4;2005;MULTI-SINGLE HIGH;7138096;2965;952;0;0;0;0;0;0;39.7;NO CLUB
AN8AH;EA8;2005;SINGLE-OP HIGH 40M;7120487;1682;709;0;0;1682;0;0;0;29.9;NO CLUB
K4ZW;W4;2005;SINGLE-OP HIGH ALL;7107828;2841;897;0;0;0;0;0;0;35.8;POTOMAC VALLEY RADIO CLUB
V25O;V2;2005;SINGLE-OP LOW ALL;7051968;2992;864;0;0;0;0;0;0;9.6;LITHUANIAN CONTEST GROUP
RL3A;UA3;2005;ASSISTED HIGH ALL;6857280;2981;960;0;0;0;0;0;0;36.0;NO CLUB
G6PZ;G;2005;MULTI-SINGLE HIGH;6855212;2777;1018;0;0;0;0;0;0;48.0;NO CLUB
KC3R;W3;2005;SINGLE-OP HIGH ALL;6758540;2781;905;0;0;0;0;0;0;35.0;NORTH COAST CONTESTERS
LX7I;LX;2005;SINGLE-OP HIGH ALL;6739000;2646;920;0;0;0;0;0;0;35.8;RHEIN RUHR DX ASSOCIATION
CT8T;CT;2005;SINGLE-OP HIGH 20M;6703695;3411;1035;0;0;0;3411;0;0;36.0;NO CLUB
5U7JB;5U;2005;SINGLE-OP HIGH ALL;6679253;2501;829;0;0;0;0;0;0;36.0;NO CLUB
PQ2Q;PY;2005;MULTI-SINGLE HIGH;6568211;2507;871;0;0;0;0;0;0;48.0;WC DX GROUP
RK4FD;UA4;2005;SINGLE-OP HIGH ALL;6480218;3130;982;0;0;0;0;0;0;36.0;NO CLUB
YZ1U;YT;2005;MULTI-SINGLE HIGH;6471300;2678;925;0;0;0;0;0;0;48.0;NO CLUB
4L8A;4L;2005;SINGLE-OP HIGH 20M;6279069;2501;901;0;0;0;2501;0;0;35.1;ATCC
JE1ZWT;JA1;2005;MULTI-MULTI;6269824;2530;803;0;0;0;0;0;0;48.0;NO CLUB
RK9CWW;UA9;2005;SINGLE-OP HIGH ALL;6197370;2563;835;0;0;0;0;0;0;36.0;URAL CONTEST GROUP
CT7B;CT;2005;SINGLE-OP LOW ALL (R);6135116;2610;929;0;0;0;0;0;0;35.6;WORLD WIDE YOUNG CONTESTERS
RF3A;UA3;2005;MULTI-SINGLE HIGH;6104475;3000;975;0;0;0;0;0;0;48.0;NO CLUB
VE3RM;VE3;2005;MULTI-SINGLE HIGH;6067328;2214;886;0;0;0;0;0;0;42.2;CONTEST CLUB ONTARIO
P43E;P4;2005;SINGLE-OP HIGH ALL (T);5996124;2416;772;0;0;0;0;0;0;35.1;NO CLUB
KW7Y;W7;2005;SINGLE-OP HIGH ALL;5751270;2814;945;0;0;0;0;0;0;36.0;WESTERN WASHINGTON DX CLUB
DL1IAO;DL;2005;ASSISTED HIGH ALL;5687130;2455;879;0;0;0;0;0;0;36.0;BAVARIAN CONTEST CLUB
J75RZ;J7;2005;MULTI-TWO;5494196;2997;731;0;0;0;0;0;0;41.1;RZS AMATEUR RADIO CLUB
VQ5L;VP5;2005;SINGLE-OP LOW ALL;5411050;2729;775;0;0;0;0;0;0;36.0;LIMA ALFA CONTEST CLUB
K3ZO;W3;2005;SINGLE-OP HIGH ALL;5400216;2243;828;0;0;0;0;0;0;34.1;POTOMAC VALLEY RADIO CLUB
NX6T;W6;2005;MULTI-TWO;5335588;3414;796;0;0;0;0;0;0;48.0;SAN DIEGO CONTEST CLUB
ED8CAC;EA8;2005;SINGLE-OP HIGH 15M;5253402;2145;822;0;0;0;0;2145;0;34.7;GRUPO DX GRAN CANARIA
JH4UYB;JA4;2005;SINGLE-OP HIGH ALL;5197640;2267;760;0;0;0;0;0;0;36.0;NO CLUB
ZP0R;ZP;2005;SINGLE-OP HIGH ALL (T);5159682;2183;759;0;0;0;0;0;0;34.8;FRANKFORD RADIO CLUB
WE3C;W3;2005;SINGLE-OP HIGH ALL;5155634;2401;886;0;0;0;0;0;0;36.0;FRANKFORD RADIO CLUB
TM8D;F;2005;MULTI-SINGLE HIGH;5155358;2439;851;0;0;0;0;0;0;48.0;MIMRAM CONTEST GROUP
EA5DFV;EA;2005;SINGLE-OP HIGH ALL;5128116;2542;861;0;0;0;0;0;0;34.3;NO CLUB
YR7M;YO;2005;ASSISTED HIGH ALL;5112026;2558;874;0;0;0;0;0;0;36.0;A1 CONTEST CLUB
DJ5MW;DL;2005;ASSISTED HIGH ALL;5089020;2387;890;0;0;0;0;0;0;36.0;BAVARIAN CONTEST CLUB
PS2T;PY;2005;MULTI-TWO;5015087;2003;847;0;0;0;0;0;0;18.6;NO CLUB
WX5S/6;W6;2005;MULTI-TWO;4954104;3074;829;0;0;0;0;0;0;41.1;NORTHERN CALIFORNIA CONTEST CLUB
KP4WW;KP4;2005;SINGLE-OP HIGH 15M;4934388;2437;849;0;0;0;0;2437;0;31.9;NO CLUB
PY2NY;PY;2005;SINGLE-OP HIGH 20M;4922663;1975;853;0;0;0;1975;0;0;31.2;TUPY DX GROUP
OL3Z;OK;2005;MULTI-SINGLE HIGH;4705910;2280;895;0;0;0;0;0;0;48.0;NO CLUB
OE6Z;OE;2005;SINGLE-OP HIGH 20M;4675242;2475;858;0;0;0;2475;0;0;34.2;NO CLUB
XE2K;XE;2005;SINGLE-OP HIGH ALL;4655550;2050;615;0;0;0;0;0;0;-;GRUPO DXXE
K5TR;W5;2005;SINGLE-OP HIGH ALL;4645318;3102;862;0;0;0;0;0;0;35.9;NO CLUB
AY8A;LU;2005;SINGLE-OP HIGH ALL (T);4641329;2107;763;0;0;0;0;0;0;34.3;LU CONTEST GROUP
VO1MP;VEO;2005;SINGLE-OP HIGH ALL;4636116;1917;698;0;0;0;0;0;0;30.6;EAST COAST CANADA CONTEST CLUB
N2IC/5;W5;2005;SINGLE-OP HIGH ALL;4610205;2813;795;0;0;0;0;0;0;35.8;NO CLUB
ST2T;ST;2005;SINGLE-OP LOW 15M;4594725;2281;675;0;0;0;0;0;0;22.8;VRHNIKA CONTESTERS
PV2J;PY;2005;MULTI-SINGLE HIGH;4591104;1994;784;0;0;0;0;0;0;35.1;SAO PAULO CONTEST GROUP
EA4KR;EA;2005;SINGLE-OP HIGH ALL;4577156;2381;838;0;0;0;0;0;0;34.9;NO CLUB
GM8M;GM;2005;MULTI-SINGLE HIGH;4554808;2484;862;0;0;0;0;0;0;34.6;NO CLUB
EM7J;UR;2005;SINGLE-OP HIGH 20M;4452126;2699;994;0;0;0;2699;0;0;36.0;KIEV CONTEST GROUP
LU1HF;LU;2005;SINGLE-OP HIGH 10M;4434977;2103;731;0;0;0;0;0;2103;29.2;NO CLUB
US5D;UR;2005;SINGLE-OP HIGH ALL;4395087;2215;837;0;0;0;0;0;0;36.0;NO CLUB
ES5TV;ES;2005;SINGLE-OP HIGH ALL;4372415;2489;965;0;0;0;0;0;0;36.0;TARTU CONTEST TEAM
IR4X;I;2005;SINGLE-OP HIGH 40M;4348800;1617;755;0;0;1617;0;0;0;25.5;WORLD WIDE YOUNG CONTESTERS
OH1F;OH;2005;SINGLE-OP HIGH ALL;4331449;2264;823;0;0;0;0;0;0;36.0;CONTEST CLUB FINLAND
WK4Y;W4;2005;ASSISTED HIGH ALL;4313415;2018;807;0;0;0;0;0;0;29.5;POTOMAC VALLEY RADIO CLUB
NI1N/4;W4;2005;MULTI-SINGLE HIGH;4308405;2097;823;0;0;0;0;0;0;45.3;POTOMAC VALLEY RADIO CLUB
J42T;SV;2005;MULTI-SINGLE HIGH;4279776;2776;818;0;0;0;0;0;0;48.0;NORTHERN GREECE CONTEST TEAM
OL5Q;OK;2005;MULTI-SINGLE HIGH;4262004;2171;804;0;0;0;0;0;0;48.0;TOWER CONTEST GANG
VA7OO;VE7;2005;MULTI-SINGLE HIGH;4259520;1756;720;0;0;0;0;0;0;48.0;CHILLIWACK AMATEUR RADIO CLUB
UP9L;UN;2005;MULTI-SINGLE HIGH;4186920;1868;690;0;0;0;0;0;0;39.0;NO CLUB
S53O;S5;2005;ASSISTED HIGH ALL;4151672;2017;833;0;0;0;0;0;0;36.0;SLOVENIA CONTEST CLUB
AJ9C;W9;2005;MULTI-SINGLE HIGH;4149184;2285;832;0;0;0;0;0;0;44.9;SOCIETY OF MIDWEST CONTESTERS
UA9JDP;UA9;2005;SINGLE-OP HIGH ALL;4125510;1962;690;0;0;0;0;0;0;33.1;NO CLUB
KT9M;W9;2005;MULTI-MULTI;4109525;2479;805;0;0;0;0;0;0;48.0;INDIANAPOLIS RADIO LEAGUE
UT2IWT;UR;2005;MULTI-MULTI;4101396;2427;793;0;0;0;0;0;0;21.6;UKRAINIAN CONTEST CLUB
XE1KK;XE;2005;ASSISTED HIGH ALL;4068562;2041;734;0;0;0;0;0;0;32.0;GRUPO DXXE
TZ9A;TZ;2005;SINGLE-OP HIGH ALL;3891540;1504;790;0;0;0;0;0;0;-;NO CLUB
OH6NIO;OH;2005;ASSISTED HIGH ALL;3836794;2214;853;0;0;0;0;0;0;35.8;CONTEST CLUB FINLAND
W7WA;W7;2005;SINGLE-OP HIGH 20M;3797420;2212;902;0;0;0;2212;0;0;30.3;WESTERN WASHINGTON DX CLUB
4M5DX;YV;2005;SINGLE-OP HIGH 40M;3789672;1222;538;0;0;1222;0;0;0;28.6;NO CLUB
KG6DX;KH2;2005;SINGLE-OP HIGH ALL (T);3754025;2059;605;0;0;0;0;0;0;34.0;MARIANAS AMATEUR RADIO CLUB
OH8NC;OH;2005;SINGLE-OP HIGH 20M;3652294;2261;862;0;0;0;2261;0;0;35.0;CONTEST CLUB FINLAND
YL2KO;YL;2005;SINGLE-OP HIGH ALL;3650311;2015;811;0;0;0;0;0;0;33.8;LATVIAN CONTEST CLUB
VQ9LA;VQ9;2005;SINGLE-OP HIGH ALL;3644928;1773;678;0;0;0;0;0;0;19.6;DIEGO GARCIA ARC
NE1C;W1;2005;MULTI-MULTI;3642108;1951;827;0;0;0;0;0;0;21.3;YANKEE CLIPPER CONTEST CLUB
LU5EML;LU;2005;SINGLE-OP LOW 15M;3639916;1656;758;0;0;0;0;0;0;33.2;NO CLUB
JS3CTQ;JA3;2005;SINGLE-OP HIGH ALL;3631565;2016;665;0;0;0;0;0;0;35.9;NO CLUB
N3HBX;W3;2005;SINGLE-OP HIGH 20M;3623628;1996;804;0;0;0;1996;0;0;34.9;POTOMAC VALLEY RADIO CLUB
S57IIO;S5;2005;ASSISTED HIGH 20M;3612497;2099;791;0;0;0;0;0;0;35.9;SLOVENIA CONTEST CLUB
NK4A;W4;2005;SINGLE-OP LOW ALL;3587572;2046;796;0;0;0;0;0;0;36.0;SOUTH EAST CONTEST CLUB
K0DU;W0;2005;MULTI-SINGLE HIGH;3575311;2466;757;0;0;0;0;0;0;48.0;GRAND MESA CONTESTERS OF COLORADO
OD5WPX;OD;2005;MULTI-MULTI;3568160;1835;580;0;0;0;0;0;0;21.1;NO CLUB
NG3U;W3;2005;MULTI-TWO;3566914;2027;793;0;0;0;0;0;0;39.2;POTOMAC VALLEY RADIO CLUB
OE2S;OE;2005;ASSISTED HIGH 20M;3550606;1977;838;0;0;0;0;0;0;34.9;BAVARIAN CONTEST CLUB
HA0DU;HA;2005;SINGLE-OP HIGH ALL (T);3509818;1805;793;0;0;0;0;0;0;27.5;BAVARIAN CONTEST CLUB
NP2I;KP2;2005;SINGLE-OP HIGH ALL (T);3501386;2149;653;0;0;0;0;0;0;26.3;NO CLUB
KT4W;W4;2005;ASSISTED HIGH ALL;3470845;1935;757;0;0;0;0;0;0;27.3;POTOMAC VALLEY RADIO CLUB
W5WMU;W5;2005;SINGLE-OP HIGH ALL;3448956;2297;798;0;0;0;0;0;0;36.0;CAJUN CONTEST CLUB
CN2BC;CN;2005;SINGLE-OP LOW ALL;3414810;1620;690;0;0;0;0;0;0;34.1;RHEIN RUHR DX ASSOCIATION
UU7J;UR;2005;SINGLE-OP HIGH 40M;3389358;1469;707;0;0;1469;0;0;0;36.0;CRIMEAN CONTEST CLUB
ZF1A;ZF;2005;SINGLE-OP HIGH 15M;3324260;2073;694;0;0;0;0;2073;0;18.4;NO CLUB
BP0A;BV;2005;MULTI-MULTI;3258755;2709;659;0;0;0;0;0;0;48.0;NO CLUB
VE6FI;VE6;2005;MULTI-TWO;3237876;1862;636;0;0;0;0;0;0;38.7;NO CLUB
RK3DZB;UA3;2005;MULTI-SINGLE HIGH;3195964;2029;769;0;0;0;0;0;0;48.0;STAR CITY RADIO CLUB
WO8CC;W8;2005;ASSISTED HIGH ALL;3191240;1845;760;0;0;0;0;0;0;36.0;SOUTHWEST OHIO DX ASSOCIATION
PT5Z;PY;2005;SINGLE-OP HIGH 10M;3185359;1679;661;0;0;0;0;0;1679;31.0;ARAUCARIA DX GROUP
SZ5Z;SV5;2005;MULTI-TWO;3181473;2741;747;0;0;0;0;0;0;47.0;NO CLUB
OH8L;OH;2005;SINGLE-OP HIGH ALL;3152340;2049;747;0;0;0;0;0;0;35.8;CONTEST CLUB FINLAND
VE6WQ;VE6;2005;SINGLE-OP HIGH 20M;3117516;1872;717;0;0;0;1872;0;0;35.6;NO CLUB
WZ1R;W1;2005;SINGLE-OP HIGH 20M;3117244;1653;794;0;0;0;1653;0;0;22.2;YANKEE CLIPPER CONTEST CLUB
KG4WW;KG4;2005;SINGLE-OP HIGH 15M (T);3108072;2036;671;0;0;0;0;2036;0;20.1;FLORIDA CONTEST GROUP
KI5DR;W5;2005;SINGLE-OP HIGH ALL;3105008;2315;752;0;0;0;0;0;0;34.8;CENTRAL TEXAS DX AND CONTEST CLUB
W1CU;W1;2005;ASSISTED HIGH ALL (T);3053738;1612;757;0;0;0;0;0;0;34.0;YANKEE CLIPPER CONTEST CLUB
YT5J;YT;2005;SINGLE-OP HIGH 20M;3000480;2074;760;0;0;0;2074;0;0;35.4;NO CLUB
UA9UWA;UA9;2005;MULTI-SINGLE HIGH;2999105;1725;635;0;0;0;0;0;0;48.0;KEMEROVO RADIO CLUB
NK7U;W7;2005;SINGLE-OP HIGH ALL;2995906;2071;739;0;0;0;0;0;0;32.6;NO CLUB
RW1AC;UA1;2005;SINGLE-OP HIGH ALL;2973209;1765;751;0;0;0;0;0;0;18.3;NO CLUB
DA0CA;DL;2005;MULTI-SINGLE HIGH;2969080;1905;746;0;0;0;0;0;0;48.0;WORLD WIDE YOUNG CONTESTERS
DL3NED;DL;2005;ASSISTED HIGH 20M;2959440;1702;760;0;0;0;0;0;0;34.5;BAVARIAN CONTEST CLUB
RV1AW;UA1;2005;SINGLE-OP HIGH ALL;2956674;1960;707;0;0;0;0;0;0;23.0;NO CLUB
RY9C;UA9;2005;MULTI-TWO;2947466;1513;634;0;0;0;0;0;0;36.7;URAL CONTEST GROUP
RD3A;UA3;2005;SINGLE-OP HIGH 20M;2939480;1950;860;0;0;0;1950;0;0;36.0;MOSCOW CONTEST CLUB
UW5Q;UR;2005;ASSISTED HIGH 20M;2897172;2127;828;0;0;0;0;0;0;36.0;NO CLUB
KU1CW/0;W0;2005;SINGLE-OP HIGH ALL;2834100;1862;705;0;0;0;0;0;0;36.0;KANSAS CITY DX CLUB
CX7BY;CX;2005;SINGLE-OP HIGH 15M;2792698;1391;698;0;0;0;0;1391;0;21.3;NO CLUB
DJ8OG;DL;2005;SINGLE-OP HIGH 20M;2781828;1654;747;0;0;0;1654;0;0;36.0;RHEIN RUHR DX ASSOCIATION
KN7NV;W7;2005;SINGLE-OP HIGH ALL;2721482;1989;662;0;0;0;0;0;0;34.8;NORTHERN CALIFORNIA CONTEST CLUB
LR1F;LU;2005;SINGLE-OP LOW ALL;2717500;1499;625;0;0;0;0;0;0;35.2;NO CLUB
VE6RST;VE6;2005;SINGLE-OP HIGH 20M;2690680;1706;685;0;0;0;1706;0;0;35.7;NO CLUB
KX7M/6;W6;2005;MULTI-SINGLE HIGH;2680210;1964;689;0;0;0;0;0;0;45.0;NORTHERN CALIFORNIA CONTEST CLUB
YT7A;YT;2005;SINGLE-OP HIGH 40M;2633995;1346;637;0;0;1346;0;0;0;36.0;NO CLUB
4N2Z;YT;2005;SINGLE-OP HIGH 40M;2626008;1370;638;0;0;1370;0;0;0;36.0;BANAT DX GROUP
UY5ZZ;UR;2005;SINGLE-OP HIGH ALL;2601918;1846;773;0;0;0;0;0;0;30.5;UKRAINIAN CONTEST CLUB
N4ZZ;W4;2005;ASSISTED HIGH ALL;2586204;1848;722;0;0;0;0;0;0;11.0;TENNESSEE CONTEST GROUP
RL4W;UA4;2005;MULTI-SINGLE HIGH;2558840;2071;680;0;0;0;0;0;0;43.9;NO CLUB
WX3B;W3;2005;MULTI-MULTI;2548660;1657;706;0;0;0;0;0;0;48.0;POTOMAC VALLEY RADIO CLUB
JA1YPA;JA1;2005;MULTI-SINGLE HIGH;2548452;1361;636;0;0;0;0;0;0;29.4;NO CLUB
UA4FER;UA4;2005;SINGLE-OP LOW ALL;2541096;1908;696;0;0;0;0;0;0;36.0;NO CLUB
PT7BZ;PY;2005;SINGLE-OP HIGH ALL;2487765;1151;551;0;0;0;0;0;0;15.6;ARAUCARIA DX GROUP
NA7XX;W7;2005;ASSISTED HIGH ALL;2449050;1880;725;0;0;0;0;0;0;32.1;GRAND MESA CONTESTERS OF COLORADO
AD4EB;W4;2005;ASSISTED HIGH ALL;2415736;1702;691;0;0;0;0;0;0;30.3;TENNESSEE CONTEST GROUP
YL1S;YL;2005;MULTI-SINGLE HIGH;2402262;1732;666;0;0;0;0;0;0;48.0;LATVIAN CONTEST CLUB
VK3TZ;VK;2005;SINGLE-OP HIGH ALL (T);2402001;1324;537;0;0;0;0;0;0;7.4;VK CONTEST CLUB
YZ7A;YT;2005;MULTI-SINGLE HIGH;2394270;1695;666;0;0;0;0;0;0;47.0;NO CLUB
SN3A;SP;2005;SINGLE-OP HIGH 80M;2369664;1358;612;0;1358;0;0;0;0;32.8;NO CLUB
IQ2CJ;I;2005;SINGLE-OP HIGH 40M;2369400;1101;600;0;0;1101;0;0;0;27.9;NO CLUB
NV1N;W1;2005;SINGLE-OP LOW ALL;2362512;1427;664;0;0;0;0;0;0;36.0;YANKEE CLIPPER CONTEST CLUB
RK6HWR;UA6;2005;MULTI-SINGLE HIGH;2362305;1953;695;0;0;0;0;0;0;43.1;NO CLUB
K1LZ;W1;2005;SINGLE-OP HIGH ALL (T);2303616;1372;672;0;0;0;0;0;0;22.8;YANKEE CLIPPER CONTEST CLUB
4L2M;4L;2005;SINGLE-OP LOW ALL;2277573;1349;557;0;0;0;0;0;0;34.1;NARG
WP3C;KP4;2005;SINGLE-OP LOW 15M;2261376;1606;624;0;0;0;0;0;0;29.0;NO CLUB
UA4LCQ/9;UA9;2005;SINGLE-OP LOW ALL (T);2261340;1367;612;0;0;0;0;0;0;34.4;NO CLUB
W8MJ;W8;2005;SINGLE-OP HIGH ALL;2235806;1909;646;0;0;0;0;0;0;33.2;MAD RIVER RADIO CLUB
J43P;SV;2005;MULTI-SINGLE HIGH;2234205;2306;655;0;0;0;0;0;0;46.9;RADIO AMATEUR ASSOCIATION WEST PELOPONNESE
JH1EAQ;JA1;2005;SINGLE-OP HIGH ALL;2197650;1287;546;0;0;0;0;0;0;35.0;NO CLUB
